rank	date	genre	slug	artist	album	spotify	year
160	September 14, 2018	Hip Hop	Noname - Room 25	Noname	Room 25	7oHM3Sj0l2nXAzGAxW0KOt	2010-2019
159	August 19, 2014	Doom Metal	Pallbearer - Foundations of Burden	Pallbearer	Foundations of Burden	5hcHyM3KYY97gUZzfRlNZb	2010-2019
158	May 11, 2010	Noise Pop	Sleigh Bells - Treats	Sleigh Bells	Treats	7l5Y3f2amyv1acMfZZQfa2	2010-2019
157	November 30, 2018	Art Pop	The 1975 - A Brief Inquiry Into Online Relationships	The 1975	A Brief Inquiry Into Online Relationships	6PWXKiakqhI17mTYM4y6oY	2010-2019
156	July 29, 2014	Pop Rock	Jenny Lewis - The Voyager	Jenny Lewis	The Voyager	5sCsfubNchaI9RCpP7K7aB	2010-2019
155	July 14, 2016	Hip Hop	21 Savage & Metro Boomin - Savage Mode	21 Savage & Metro Boomin	Savage Mode	4I3EcXD4e3KcEoDJfFEZ5b	2010-2019
154	March 17, 2014	Drone	Mica Levi - Under the Skin	Mica Levi	Under the Skin		2010-2019
153	July 12, 2019	Indie Rock	Purple Mountains - Purple Mountains	Purple Mountains	Purple Mountains	5NCdiiTgky5PbjmCtcgwtn	2010-2019
152	September 9, 2013	Indie Rock	Arctic Monkeys - AM	Arctic Monkeys	AM	5bU1XKYxHhEwukllT20xtk	2010-2019
151	November 23, 2009	Pop	Lady Gaga - The Fame Monster	Lady Gaga	The Fame Monster	67j3NJodNRI8USUwKwTZA6	2010-2019
150	April 14, 2017	Hip Hop	Playboi Carti - Playboi Carti	Playboi Carti	Playboi Carti	4rJgzzfFHAVFhCSt2P4I3j	2010-2019
149	October 16, 2012	Singer-Songwriter	Mac DeMarco - 2	Mac DeMarco	2	7mQ1elwuFdy0LBjAxv4spP	2010-2019
148	January 31, 2011	Microhouse	Nicolas Jaar - Space Is Only Noise	Nicolas Jaar	Space Is Only Noise	0tUJcqDuXHNkaPKLN0lQhT	2010-2019
147	May 10, 2010	Indie Rock	The National - High Violet	The National	High Violet	59gXPxZ8CwFaeknPxtxXHZ	2010-2019
146	January 1, 2017	Power Pop	Sheer Mag - Compilation LP	Sheer Mag	Compilation LP	0QKFT4xWEigQjzJaAc1PPP	2010-2019
145	December 18, 2012	Hip Hop	Chief Keef - Finally Rich	Chief Keef	Finally Rich	108j4R9oEcFUaVRzE8RZKI	2010-2019
144	February 15, 2011	Alternative Rock	PJ Harvey - Let England Shake	PJ Harvey	Let England Shake	7f1aXd7Gd5H9IqFu36zw6m	2010-2019
143	April 5, 2019	Art Pop	Weyes Blood - Titanic Rising	Weyes Blood	Titanic Rising	53VKICyqCf91sVkTdFrzKX	2010-2019
142	March 29, 2019	Ambient	Fennesz - Agora	Fennesz	Agora	7JpOsq1F2A9aPr2fdacsOk	2010-2019
141	January 6, 2012	Hip Hop	Rick Ross - Rich Forever	Rick Ross	Rich Forever	2Yeiz6V1YuHFz7iiWCC0SE	2010-2019
140	June 3, 2014	Garage Rock	Parquet Courts - Sunbathing Animal	Parquet Courts	Sunbathing Animal	3ngz9FbWGxHscqvwoGOL0u	2010-2019
139	June 8, 2010	Drone	Emeralds - Does It Look Like I'm Here?	Emeralds	Does It Look Like I'm Here?	0c0XkZh9vWXg473nchoArI	2010-2019
138	April 21, 2015	Southern Rock	Alabama Shakes - Sound & Color	Alabama Shakes	Sound & Color	03nQNGFi3dIxg6ghNbtVWW	2010-2019
137	October 31, 2011	Hip Hop	A$AP Rocky - Live. Love. A$AP	A$AP Rocky	Live. Love. A$AP		2010-2019
136	February 15, 2011	Drone	Tim Hecker - Ravedeath, 1972	Tim Hecker	Ravedeath, 1972	6cbCvUzsawFcG0aZVCJyzt	2010-2019
135	May 3, 2011	Indie Folk	Fleet Foxes - Helplessness Blues	Fleet Foxes	Helplessness Blues	3l7iMXJ0jqFnIYZRyCUewC	2010-2019
134	October 18, 2011	Dream Pop	M83 - Hurry Up, We're Dreaming	M83	Hurry Up, We're Dreaming	6MBuQugGuX7VMBX0uiBnAQ	2010-2019
133	March 4, 2014	Twee Pop	Frankie Cosmos - Zentropy	Frankie Cosmos	Zentropy	6EAwEaY4Ozymphrn5kiCwd	2010-2019
132	March 30, 2018	Neo-Psychedelia	Amen Dunes - Freedom	Amen Dunes	Freedom	2H4G8AGta9p8yjgjVI9nZd	2010-2019
131	October 28, 2014	Hip Hop	Run the Jewels - Run the Jewels 2	Run the Jewels	Run the Jewels 2	2lPYlP4eumsjz6LBG8GCbG	2010-2019
130	October 9, 2012	Psychedelic Rock	Tame Impala - Lonerism	Tame Impala	Lonerism	76vY9yohh4kVwSKkyKbyEQ	2010-2019
129	October 15, 2013	Footwork	Various Artists - Bangs & Works Vol. 1	Various Artists	Bangs & Works Vol. 1		2010-2019
128	May 8, 2016	Art Rock	Radiohead - A Moon Shaped Pool	Radiohead	A Moon Shaped Pool	6vuykQgDLUCiZ7YggIpLM9	2010-2019
127	May 20, 2016	Indie Rock	Car Seat Headrest - Teens of Denial	Car Seat Headrest	Teens of Denial	0czBomMxaMCzanUaFhESOW	2010-2019
126	April 12, 2011	Psychedelic Pop	Panda Bear - Tomboy	Panda Bear	Tomboy	3SH1o5bO60CTibwxdYOFyo	2010-2019
125	September 5, 2018	Post-Industrial	Yves Tumor - Safe in the Hands of Love	Yves Tumor	Safe in the Hands of Love	1IpYZkYoYCjXTYMDEW8Ksk	2010-2019
124	October 18, 2011	Indie Rock	Real Estate - Days	Real Estate	Days	43uj7422MLR9MRBXSki0El	2010-2019
123	June 11, 2013	Blackgaze	Deafheaven - Sunbather	Deafheaven	Sunbather	2kKXGWaCEl06EKZ4DxBJIT	2010-2019
122	June 8, 2018	Indie Rock	Snail Mail - Lush	Snail Mail	Lush	2e48GqjEwCi87gQJanb1bf	2010-2019
121	February 25, 2014	Emo	The Hotelier - Home, Like Noplace is There	The Hotelier	Home, Like Noplace is There	0JWZYF32E2xCB7lgqEbqIp	2010-2019
120	July 21, 2017	Experimental Hip Hop	Tyler, the Creator - Flower Boy	Tyler, the Creator	Flower Boy	2nkto6YNI4rUYTLqEwWJ3o	2010-2019
119	June 2, 2015	Indie Pop	Girlpool - Before The World Was Big	Girlpool	Before The World Was Big	0iyTXByS9tabgYER06HSRA	2010-2019
118	October 21, 2016	Singer-Songwriter	Leonard Cohen - You Want It Darker	Leonard Cohen	You Want It Darker	3jeTB3j3QmUs8SPIVleHtU	2010-2019
117	April 21, 2012	Hip Hop	Death Grips - The Money Store	Death Grips	The Money Store	1PQDjdBpHPikAodJqjzm6a	2010-2019
116	May 18, 2010	R&B	Janelle Monáe - The ArchAndroid	Janelle Monáe	The ArchAndroid	7MvSB0JTdtl1pSwZcgvYQX	2010-2019
115	February 16, 2018	Neo-Psychedelia	U.S. Girls - In a Poem Unlimited	U.S. Girls	In a Poem Unlimited	5mcuyVRQmrRlfFqDDfJI1q	2010-2019
114	February 3, 2017	Alternative R&B	Sampha - Process	Sampha	Process	2gUSWVHCOerKhJHZRwhVtN	2010-2019
113	June 5, 2012	Garage Rock	Japandroids - Celebration Rock	Japandroids	Celebration Rock	2sY9WYVH022ulyAYaqvXLW	2010-2019
112	May 21, 2013	Nu-Disco	Daft Punk - Random Access Memories	Daft Punk	Random Access Memories	4m2880jivSbbyEGAKfITCa	2010-2019
111	May 10, 2011	Experimental	EMA - Past Life Martyred Saints	EMA	Past Life Martyred Saints	08OhqUM0MeAuHd9HdryHB4	2010-2019
110	October 5, 2010	Hip Hop	Waka Flocka Flame - Flockaveli	Waka Flocka Flame	Flockaveli	6MQtWELG7aRX7CkAzQ6nLM	2010-2019
109	October 26, 2018	Progressive Pop	Julia Holter - Aviary	Julia Holter	Aviary	6icpwcJQWK4nq9Xilk4yRu	2010-2019
108	May 6, 2016	Electronic	KAYTRANADA - 99.9%	KAYTRANADA	99.9%	1dZZh7PvVgce1DDsDPzy8Z	2010-2019
107	July 10, 2012	Art Pop	Dirty Projectors - Swing Lo Magellan	Dirty Projectors	Swing Lo Magellan	1WhF5ZiI5V5laq2nGLoF99	2010-2019
106	September 22, 2017	Art Pop	Moses Sumney - Aromanticism	Moses Sumney	Aromanticism	30WjNaR79shSTGB52IJTw0	2010-2019
105	June 3, 2013	Electronic	Disclosure - Settle	Disclosure	Settle	1bEnTsCvG4FPW7NpIEC5Zc	2010-2019
104	March 5, 2013	Singer-Songwriter	Waxahatchee - Cerulean Salt	Waxahatchee	Cerulean Salt	4OfohS2lFQOeCXsrNcdh5s	2010-2019
103	March 8, 2019	Art Pop	Helado Negro - This Is How You Smile	Helado Negro	This Is How You Smile	17LsQV3q3cgTBrat3D5JSv	2010-2019
102	December 4, 2015	R&B	Jeremih - Late Nights: The Album	Jeremih	Late Nights: The Album	4p9QlliNvKndyKSPyuJlP8	2010-2019
101	March 26, 2012	Synthpop	Chromatics - Kill for Love	Chromatics	Kill for Love	5Rz4NIqwoYGDbIh40UTylV	2010-2019
100	August 17, 2018	R&B	Ariana Grande - Sweetener	Ariana Grande	Sweetener	3tx8gQqWbGwqIGZHqDNrGe	2010-2019
99	December 24, 2018	Trap Rap	Bad Bunny - X 100PRE	Bad Bunny	X 100PRE	7CjJb2mikwAWA1V6kewFBF	2010-2019
98	April 8, 2014	Nu-Disco	Todd Terje - It's Album Time	Todd Terje	It's Album Time	4pefQ21iSk8hdnxw3WSB5Y	2010-2019
97	March 18, 2014	Heartland Rock	The War on Drugs - Lost in the Dream	The War on Drugs	Lost in the Dream	6nD9jfVVX0OadsHJqmjObO	2010-2019
96	September 14, 2018	Ambient Pop	Low - Double Negative	Low	Double Negative	1zTkgOHx3mjrUvrhxq4osf	2010-2019
95	June 1, 2019	Alternative R&B	Jai Paul - Leak 04-13 (Bait Ones)	Jai Paul	Leak 04-13 (Bait Ones)	6Wsai43KQmmKlN29AWlXFr	2010-2019
94	January 12, 2010	Indie Rock	Vampire Weekend - Contra	Vampire Weekend	Contra	0zeAijecFGZOS4OaRdPVz5	2010-2019
93	August 10, 2018	Art Pop	Tirzah - Devotion	Tirzah	Devotion	15GocbF7ybkkPP03YXtLqv	2010-2019
92	August 8, 2011	Hip Hop	Kanye West & Jay-Z - Watch the Throne	Kanye West & Jay-Z	Watch the Throne	1YwzJz7CrV9fd9Qeb6oo1d	2010-2019
91	September 30, 2016	Art Pop	Bon Iver - 22, A Million	Bon Iver	22, A Million	1PgfRdl3lPyACfUGH4pquG	2010-2019
90	July 22, 2014	Pop Punk	Joyce Manor - Never Hungover Again	Joyce Manor	Never Hungover Again	4B61MxQBe8RsHIlPSyjZZv	2010-2019
89	October 7, 2014	Electronic	Caribou - Our Love	Caribou	Our Love	233jGebCTUPAYF5MxvLB7A	2010-2019
88	June 9, 2015	Art Pop	Jenny Hval - Apocalypse, girl	Jenny Hval	Apocalypse, girl	3AeAZfwBgnhmbNEowNFvcB	2010-2019
87	January 6, 2015	Hip Hop	Rae Sremmurd - SremmLife	Rae Sremmurd	SremmLife	4ZmCBqmAmzZaw6AKnlXqQI	2010-2019
86	September 30, 2013	Indie Rock	HAIM - Days Are Gone	HAIM	Days Are Gone	0eXAgjcMHbFt3fS0XXp8Kw	2010-2019
85	January 27, 2015	Singer-Songwriter	Jessica Pratt - On Your Own Love Again	Jessica Pratt	On Your Own Love Again	7jzMs30mrCWAZKrqD5ckFd	2010-2019
84	April 30, 2013	Hip Hop	Chance The Rapper - Acid Rap	Chance The Rapper	Acid Rap	2VBcztE58pBKjIDS5oEgFh	2010-2019
83	December 16, 2013	Dubstep	Burial - Rival Dealer	Burial	Rival Dealer	7Mpnu24WcUfiCw9sGrdp2K	2010-2019
82	September 13, 2011	Indie Pop	Girls - Father, Son, Holy Ghost	Girls	Father, Son, Holy Ghost	66wRO7SK0Wo1KS40en2tua	2010-2019
81	March 1, 2019	Neo-Soul	Solange - When I Get Home	Solange	When I Get Home	4WF4HvVT7VjGnVjxjoCR6w	2010-2019
80	September 23, 2014	IDM	Aphex Twin - Syro	Aphex Twin	Syro	6oRuinkJdTge4hpTuClEF8	2010-2019
79	July 17, 2015	Psychedelic Pop	Tame Impala - Currents	Tame Impala	Currents	0rxKf57PZvWEoU8v3m5W2q	2010-2019
78	March 8, 2011	Folk Rock	Kurt Vile - Smoke Ring for My Halo	Kurt Vile	Smoke Ring for My Halo	32a7BrNNTAu7BVb6DcsMLP	2010-2019
77	January 26, 2010	Electronic	Four Tet - There Is Love in You	Four Tet	There Is Love in You	6x2gG7Pw1g54ZjQWjiAVCK	2010-2019
76	August 3, 2010	Indie Rock	Arcade Fire - The Suburbs	Arcade Fire	The Suburbs	4zJBuQXo92Q7QhA5U4V8kw	2010-2019
75	March 21, 2011	R&B	The Weeknd - House of Balloons	The Weeknd	House of Balloons		2010-2019
74	June 15, 2018	Post-Industrial	SOPHIE - OIL OF EVERY PEARL'S UN-INSIDES	SOPHIE	OIL OF EVERY PEARL'S UN-INSIDES	0CKiI5WdJ5rzUIK8hyD3SY	2010-2019
73	April 6, 2018	Trap Rap	Cardi B - Invasion of Privacy	Cardi B	Invasion of Privacy	4KdtEKjY3Gi0mKiSdy96ML	2010-2019
72	February 10, 2015	Singer-Songwriter	Father John Misty - I Love You, Honeybear	Father John Misty	I Love You, Honeybear	7buEcyw6fJF3WPgr06BomH	2010-2019
71	October 26, 2018	Electropop	Robyn - Honey	Robyn	Honey	6WZjFvrzwq8SOGe0r8R3qk	2010-2019
70	May 5, 2017	Art Pop	Perfume Genius - No Shape	Perfume Genius	No Shape	7awgq3vvlsIeA7dZduR9x4	2010-2019
69	February 12, 2015	Hip Hop	Drake - If You're Reading This It's Too Late	Drake	If You're Reading This It's Too Late	6K77I7FVTV0pxUfQikCbxj	2010-2019
68	May 4, 2010	IDM	Flying Lotus - Cosmogramma	Flying Lotus	Cosmogramma	5c7XChrHxYaqykCZLaGM5f	2010-2019
67	March 24, 2015	Indie Rock	Courtney Barnett - Sometimes I Sit and Think, and Sometimes I Just Sit	Courtney Barnett	Sometimes I Sit and Think, and Sometimes I Just Sit	5FpTrIArvT20xUSpGRXGLY	2010-2019
66	October 27, 2017	Electropop	Fever Ray - Plunge	Fever Ray	Plunge	3UHMhYzYnfTBEuDxb1JmxC	2010-2019
65	July 17, 2015	Hip Hop	Future - DS2	Future	DS2	0fUy6IdLHDpGNwavIlhEsl	2010-2019
64	August 17, 2018	Indie Rock	Mitski - Be the Cowboy	Mitski	Be the Cowboy	653wRjqO0GOZPQPcXpeAXD	2010-2019
63	August 15, 2011	Hip Hop	Danny Brown - XXX	Danny Brown	XXX	3j21GO4l4W0w7hdF8JVPmo	2010-2019
62	October 31, 2014	Ambient	Grouper - Ruins	Grouper	Ruins	5ElYoVUqRQIlDekD1v6aKa	2010-2019
61	April 7, 2017	Art Pop	Arca - Arca	Arca	Arca	1MQO4j8QExVgmnplbIodEU	2010-2019
60	October 13, 2017	Art Rock	King Krule - The OOZ	King Krule	The OOZ	6Ulu31dfRTpIAud08ZIhXd	2010-2019
59	October 22, 2012	Pop	Taylor Swift - Red	Taylor Swift	Red	1EoDsNmgTLtmwe1BDAVxV5	2010-2019
58	May 5, 2015	Jazz Fusion	Kamasi Washington - The Epic	Kamasi Washington	The Epic	1jTw1oalZ4vF8jmpmILCdh	2010-2019
57	April 14, 2017	Hip Hop	Kendrick Lamar - DAMN.	Kendrick Lamar	DAMN.	4eLPsYPBmXABThSJ821sqY	2010-2019
56	January 20, 2015	Art Pop	Björk - Vulnicura	Björk	Vulnicura	1ttnHZ0HVGMSMTJdZZ7kYK	2010-2019
55	September 13, 2011	Art Pop	St. Vincent - Strange Mercy	St. Vincent	Strange Mercy	1Lci4bx7JIuCC8pnBNX7ds	2010-2019
